,epoch,train_loss,test_loss,train_accuracy,test_accuracy
0,0,396.98541259765625,502.173095703125,0.714,0.575
1,1,264.1173095703125,125.44590759277344,0.82,0.935
2,2,202.35032653808594,118.0656967163086,0.88,0.931
3,3,148.80911254882812,99.92933654785156,0.91,0.946
4,4,131.0432891845703,90.63251495361328,0.919,0.949
5,5,125.30464935302734,81.47665405273438,0.919,0.957
6,6,118.91450500488281,75.2220458984375,0.923,0.959
7,7,108.263916015625,66.89405822753906,0.933,0.964
8,8,100.24906158447266,62.08516311645508,0.939,0.964
9,9,94.43980407714844,63.81465530395508,0.944,0.966
10,10,90.02693176269531,62.120338439941406,0.948,0.966
11,11,85.4491195678711,59.4118766784668,0.95,0.968
12,12,84.41278839111328,58.08364486694336,0.95,0.969
13,13,83.54629516601562,55.852989196777344,0.947,0.969
14,14,83.41439056396484,54.0759162902832,0.945,0.972
15,15,79.723388671875,53.783668518066406,0.949,0.97
16,16,68.67001342773438,51.15855026245117,0.954,0.966
17,17,69.06070709228516,52.0531120300293,0.953,0.966
18,18,68.23600769042969,49.494422912597656,0.953,0.968
19,19,64.88201904296875,46.72071075439453,0.956,0.974
20,20,66.09628295898438,46.865478515625,0.957,0.971
21,21,62.04366683959961,44.619232177734375,0.956,0.974
22,22,58.38825225830078,42.56783676147461,0.958,0.976
23,23,56.433292388916016,40.98973083496094,0.96,0.978
24,24,60.19487762451172,42.86326599121094,0.957,0.976
25,25,56.17195510864258,39.662410736083984,0.96,0.974
26,26,55.630958557128906,38.78862380981445,0.959,0.978
27,27,55.62334442138672,40.92612075805664,0.964,0.975
28,28,53.84190368652344,41.99441909790039,0.963,0.97
29,29,51.473411560058594,39.65492630004883,0.965,0.977
30,30,50.49562454223633,40.89115524291992,0.963,0.976
31,31,56.313838958740234,41.00927734375,0.963,0.976
32,32,47.014625549316406,36.927730560302734,0.965,0.98
33,33,62.75236892700195,52.95074462890625,0.959,0.963
34,34,52.86929702758789,36.3983039855957,0.96,0.985
35,35,53.81526565551758,41.1648063659668,0.962,0.979
36,36,51.08578109741211,39.56950378417969,0.964,0.984
37,37,50.77471923828125,37.77854537963867,0.962,0.979
38,38,48.367610931396484,33.76122283935547,0.968,0.987
39,39,49.94219207763672,42.43390655517578,0.962,0.972
40,40,43.675357818603516,32.67331314086914,0.972,0.984
41,41,44.91539764404297,34.13827133178711,0.97,0.983
42,42,48.28751754760742,35.56485366821289,0.971,0.985
43,43,51.50847625732422,37.1732177734375,0.963,0.979
44,44,46.732913970947266,33.400081634521484,0.968,0.982
45,45,45.153263092041016,35.564292907714844,0.968,0.979
46,46,45.24875259399414,38.08985137939453,0.967,0.977
47,47,50.71771240234375,34.94135665893555,0.963,0.983
48,48,43.24748611450195,42.66255569458008,0.969,0.975
49,49,45.180992126464844,43.858402252197266,0.969,0.974
50,50,42.77938461303711,39.046382904052734,0.97,0.978
51,51,45.819580078125,41.265872955322266,0.968,0.975
52,52,43.46436309814453,40.527984619140625,0.97,0.978
53,53,39.21375274658203,39.05515670776367,0.974,0.978
54,54,44.4730339050293,33.7944221496582,0.972,0.976
55,55,46.161582946777344,43.59501647949219,0.963,0.973
56,56,41.72185134887695,35.35688400268555,0.975,0.98
57,57,42.396671295166016,38.605308532714844,0.972,0.98
58,58,43.182884216308594,42.10348129272461,0.97,0.976
59,59,39.03871536254883,48.8178825378418,0.977,0.97
60,60,41.23058319091797,39.62849426269531,0.975,0.978
61,61,34.812103271484375,31.014572143554688,0.981,0.982
62,62,39.448280334472656,40.82212448120117,0.973,0.977
63,63,35.151947021484375,41.84452819824219,0.983,0.977
64,64,44.174686431884766,33.2466926574707,0.971,0.984
65,65,44.451480865478516,28.514062881469727,0.97,0.986
66,66,38.74997329711914,28.21583366394043,0.977,0.986
67,67,34.64164352416992,48.17416763305664,0.982,0.972
68,68,38.42534637451172,40.01580047607422,0.975,0.973
69,69,38.401878356933594,33.80895233154297,0.977,0.976
70,70,41.98514175415039,27.287452697753906,0.972,0.986
71,71,34.00001907348633,42.74756622314453,0.979,0.974
72,72,38.26771926879883,34.17706298828125,0.975,0.979
73,73,38.02547073364258,39.13577651977539,0.975,0.978
74,74,35.06897735595703,33.51900100708008,0.975,0.977
75,75,31.625106811523438,33.39854049682617,0.982,0.975
76,76,40.76856231689453,30.83957862854004,0.974,0.98
77,77,33.72658920288086,26.661026000976562,0.977,0.981
78,78,32.29085159301758,28.581464767456055,0.981,0.983
79,79,33.94578552246094,26.26099967956543,0.977,0.983
80,80,32.932369232177734,30.510135650634766,0.979,0.983
81,81,33.26197814941406,31.38694190979004,0.98,0.981
82,82,34.79608154296875,26.774822235107422,0.976,0.983
83,83,34.230655670166016,23.202383041381836,0.979,0.987
84,84,31.287994384765625,27.918912887573242,0.98,0.986
85,85,30.80369758605957,27.58998680114746,0.982,0.983
86,86,29.069351196289062,27.93181037902832,0.984,0.983
87,87,26.76711654663086,35.438720703125,0.987,0.978
88,88,34.12762451171875,32.36402130126953,0.975,0.977
89,89,35.12078094482422,24.595623016357422,0.979,0.987
90,90,34.508155822753906,20.10256576538086,0.975,0.986
91,91,34.32234573364258,27.72707176208496,0.977,0.981
92,92,25.54566192626953,21.378875732421875,0.985,0.988
93,93,26.51911735534668,29.101938247680664,0.985,0.985
94,94,30.8215274810791,21.941734313964844,0.982,0.988
95,95,35.847808837890625,21.52902603149414,0.978,0.987
96,96,27.796279907226562,19.762046813964844,0.985,0.986
97,97,28.44585609436035,23.199609756469727,0.983,0.985
98,98,42.62483215332031,30.8399658203125,0.974,0.981
99,99,31.01472282409668,25.235393524169922,0.982,0.981
100,0,478.7868957519531,325.3055114746094,0.608,0.775
101,1,376.79168701171875,220.17645263671875,0.724,0.857
102,2,283.71343994140625,158.22515869140625,0.802,0.912
103,3,236.87799072265625,132.87911987304688,0.845,0.925
104,4,207.02215576171875,119.83753204345703,0.871,0.922
105,5,171.46351623535156,113.0973129272461,0.899,0.926
106,6,147.95887756347656,104.73387908935547,0.906,0.932
107,7,127.5134506225586,99.61906433105469,0.922,0.934
108,8,95.72714233398438,92.70175170898438,0.945,0.939
109,9,90.20217895507812,92.56448364257812,0.949,0.939
110,10,70.64682006835938,84.57298278808594,0.959,0.944
111,11,87.31257629394531,96.88337707519531,0.949,0.935
112,12,68.36369323730469,93.2366943359375,0.961,0.935
113,13,67.42051696777344,85.97711944580078,0.96,0.936
114,14,64.33639526367188,68.52729797363281,0.963,0.949
115,15,57.835411071777344,79.34789276123047,0.96,0.945
116,16,61.700191497802734,85.70308685302734,0.957,0.941
117,17,65.4669189453125,75.08804321289062,0.953,0.949
118,18,57.183349609375,69.99163055419922,0.965,0.952
119,19,68.06721496582031,62.36063766479492,0.957,0.963
120,20,52.08761978149414,69.44540405273438,0.964,0.95
121,21,54.060394287109375,66.4683837890625,0.968,0.958
122,22,47.37031555175781,73.21327209472656,0.972,0.953
123,23,54.92246627807617,77.14680480957031,0.967,0.952
124,24,52.443992614746094,64.72697448730469,0.964,0.956
125,25,52.48751449584961,70.36357116699219,0.965,0.955
126,26,46.112918853759766,64.91118621826172,0.972,0.956
127,27,48.88844299316406,75.65045166015625,0.969,0.951
128,28,53.33475112915039,71.78773498535156,0.968,0.951
129,29,47.615692138671875,77.96245574951172,0.971,0.948
130,30,47.651466369628906,60.76242446899414,0.972,0.958
131,31,57.18827438354492,74.47669219970703,0.965,0.953
132,32,44.91999053955078,67.07428741455078,0.975,0.952
133,33,46.9754638671875,69.50252532958984,0.972,0.953
134,34,44.538543701171875,64.0463638305664,0.973,0.954
135,35,47.78416442871094,67.05215454101562,0.972,0.957
136,36,47.06389236450195,58.91966247558594,0.973,0.959
137,37,54.04552459716797,63.569854736328125,0.97,0.954
138,38,33.76278305053711,68.01250457763672,0.982,0.958
139,39,43.77566146850586,70.8727798461914,0.975,0.955
140,40,45.432952880859375,52.60322570800781,0.972,0.96
141,41,37.441864013671875,56.10786819458008,0.976,0.965
142,42,51.88903045654297,64.32000732421875,0.973,0.956
143,43,37.05690383911133,58.73915481567383,0.98,0.963
144,44,36.32252502441406,96.4404067993164,0.979,0.944
145,45,76.17858123779297,92.76145935058594,0.956,0.944
146,46,42.328643798828125,69.08586120605469,0.974,0.957
147,47,36.46438980102539,100.52546691894531,0.974,0.938
148,48,40.10997009277344,73.48279571533203,0.976,0.953
149,49,42.03118896484375,104.23529815673828,0.975,0.939
150,50,34.262447357177734,65.81494140625,0.982,0.959
151,51,41.808509826660156,86.08064270019531,0.974,0.946
152,52,31.706315994262695,73.86128997802734,0.982,0.956
153,53,39.19124984741211,61.99860763549805,0.979,0.962
154,54,33.013484954833984,48.79881286621094,0.984,0.967
155,55,32.92789840698242,49.852516174316406,0.983,0.963
156,56,42.55683898925781,66.48857879638672,0.975,0.954
157,57,42.63798904418945,47.340614318847656,0.967,0.965
158,58,39.33565139770508,64.93022155761719,0.975,0.956
159,59,37.88654327392578,51.386775970458984,0.978,0.967
160,60,37.44175338745117,56.3235969543457,0.979,0.967
161,61,48.34391784667969,51.51826858520508,0.975,0.969
162,62,40.865726470947266,50.89623260498047,0.978,0.965
163,63,41.14720916748047,66.30809783935547,0.976,0.957
164,64,47.52260208129883,56.01921463012695,0.972,0.964
165,65,41.42847442626953,78.20414733886719,0.973,0.954
166,66,33.61435317993164,47.180503845214844,0.981,0.969
167,67,31.10303497314453,51.77225112915039,0.983,0.97
168,68,38.545066833496094,46.264137268066406,0.975,0.972
169,69,26.543338775634766,44.178199768066406,0.987,0.972
170,70,35.321311950683594,65.9696044921875,0.978,0.955
171,71,39.86356735229492,54.94428634643555,0.976,0.966
172,72,47.87565231323242,54.66864776611328,0.969,0.964
173,73,42.037750244140625,45.98208999633789,0.974,0.97
174,74,36.57005310058594,50.37153244018555,0.975,0.969
175,75,25.449031829833984,52.147804260253906,0.986,0.969
176,76,28.782363891601562,53.29782485961914,0.983,0.968
177,77,31.46245765686035,45.988739013671875,0.979,0.973
178,78,37.041114807128906,50.0869026184082,0.978,0.964
179,79,28.701345443725586,47.298946380615234,0.983,0.969
180,80,28.482067108154297,73.85210418701172,0.983,0.954
181,81,31.883773803710938,45.32050704956055,0.977,0.971
182,82,38.44712448120117,54.4197998046875,0.972,0.963
183,83,29.394685745239258,49.18114471435547,0.984,0.967
184,84,29.641517639160156,51.8425407409668,0.984,0.965
185,85,37.289283752441406,54.394596099853516,0.974,0.963
186,86,29.62993049621582,49.171119689941406,0.982,0.969
187,87,34.32291793823242,57.16242599487305,0.977,0.962
188,88,28.81915283203125,59.842002868652344,0.982,0.961
189,89,27.83407211303711,52.69901657104492,0.986,0.966
190,90,22.132366180419922,47.634132385253906,0.988,0.971
191,91,24.374128341674805,50.275787353515625,0.988,0.969
192,92,21.103485107421875,54.029075622558594,0.99,0.963
193,93,29.598608016967773,55.46894454956055,0.982,0.961
194,94,31.544910430908203,57.787818908691406,0.98,0.962
195,95,26.217395782470703,60.361454010009766,0.985,0.967
196,96,38.3803825378418,48.930049896240234,0.975,0.964
197,97,27.33072853088379,57.030338287353516,0.985,0.962
198,98,21.328601837158203,41.96696472167969,0.987,0.975
199,99,28.299062728881836,52.4383544921875,0.983,0.966
200,0,461.5830383300781,371.77716064453125,0.607,0.71
201,1,361.9793701171875,184.72052001953125,0.768,0.917
202,2,265.4154052734375,151.13375854492188,0.841,0.935
203,3,182.19345092773438,445.0826721191406,0.899,0.703
204,4,156.42063903808594,268.23626708984375,0.914,0.82
205,5,119.25160217285156,203.3821563720703,0.936,0.862
206,6,91.51129150390625,237.66738891601562,0.955,0.853
207,7,81.24517822265625,354.5804748535156,0.955,0.785
208,8,90.35252380371094,117.30086517333984,0.945,0.963
209,9,91.80492401123047,305.05816650390625,0.941,0.83
210,10,68.7151107788086,280.6040954589844,0.953,0.841
211,11,61.467960357666016,54.34585189819336,0.963,0.96
212,12,63.90997314453125,50.380043029785156,0.958,0.965
